| Jan ??, 2000 | Russian Illegals Juan Lazaro and Vicky Pelaez surveilled in an unidentified South American country
| Dec 19, 2017 | @JulianAssange: "Masked intruders have broken into the legal office of Baltasar Garzón, head of @wikileaks legal team, in Madrid."
| Dec 19, 2017 | Julian Assange given diplomatic role by Ecuadorian minister [see: Sep 26, 2018 The Guardian]
| Dec 20, 2017 | James Baker (FBI General Counsel) demoted and reassigned
| Dec 21, 2017 | The Guardian: "Ukrainian interpreter who visited May arrested on Russian spying charges"
| Dec 24, 2017 | The Guardian: "FBI investigates Russian-linked Cyprus bank accused of money laundering"
| Jan 02, 2018 | Glenn Simpsons NYT op-ed, demands August 22, 2017 transcripts be made public
| Jan 08, 2018 | Bruce Ohr removed as head of the Organized Crime Drug Enforcement Task Force
| Jan 09, 2018 | James Turgal (FBI Executive Assistant Director for Information and Technology Branch) retires
| Jan 09, 2018 | Washington Times: "Sen. Dianne Feinstein releases transcript of closed-door meeting with Fusion GPS exec"
| Jan 10, 2018 | Reuters: "Cyprus company sues ex-Trump campaign manager Manafort for fraud" (Deripaska, Black Sea Cable)
| Jan 12, 2018 | Pitchfork: "Moby Says CIA Agents Asked Him to Spread the Word About Trump and Russia"
| Jan 12, 2018 | Kyiv Post: "Courts freeze $3.32 billion in assets of 3 top oligarchs" (Akhmetov, Kolomoisky & Bogolyubov)
| Jan 12, 2018 | @JulianAssange White Rook photo (archive.is/fclc5)
| Jan 13, 2018 | In a self-published book by two Italian friends, Mifsud denies telling Papadopoulos about HRC emails
| Jan 17, 2018 | George Nader accosted by federal agents at Dulles airport, electronics seized, agrees to cooperate
| Jan 19, 2018 | Axios: "How the CIA’s spy network in China collapsed"
| Jan 23, 2018 | New York Post: "Comey’s former chief of staff finally quits FBI under pressure from GOP lawmakers"
| Jan 25, 2018 | @ByronYork: "Grassley releases 7 pages of Strzok-Page texts. http://ow.ly/Y6vZ30i0ozQ"
| Jan 27, 2018 | Assange DM's fake Hannity account, promises info on Warner [see: January 29, 2018 Daily Beast]
| Jan 29, 2018 | Daily Beast: "Julian Assange Offered Hannity Impersonator ‘News’ About Top Democrat"
| Jan 29, 2018 | WaPo: "How a classified four-page Russia memo triggered a political firestorm"
| Jan 31, 2018 | Mueller files Status Report to postpone Gen. Flynn sentencing hearing for 90 days (May 1st, 2018)
| Feb 02, 2018 | Josh Campbell NYT Op-Ed: "Why I am leaving the FBI"
| Feb 02, 2018 | CNN: "Disputed GOP-Nunes memo released with Trump's approval"
| Feb 03, 2018 | Strzok: "Nothing like a 4:00am email from a British [?] needs to talk urgently. I'm on the road in 10..."
| Feb 06, 2018 | RedState: "Did Carter Page Help Bust A Russian Spy Ring As An Undercover FBI Employee?"
| Feb 07, 2018 | WaPo: "Justice Dept. official who helped oversee Clinton, Russia probes steps down"
| Feb 08, 2018 | Assange: "When the sun shines it gets warner"
| Feb 08, 2018 | Michael Kortan (FBI Assistant Director of Public Affairs) resigns
| Feb 08, 2018 | Fox News: "Mark Warner texted with Russian oligarch lobbyist in effort to contact dossier author Christopher Steele"
| Feb 08, 2018 | RFEL: "The Deputy PM, The Oligarch, And His Lover: New Navalny Exposé Highlights Tycoon's Ties To Kremlin Bigwig"
| Feb 08, 2018 | In letter to Nunes, McGahn cites Priestap that corroboration of Steele dossier was in its infancy for Carter Page FISA
| Feb 08, 2018 | Telegraph: "Oligarch met with top Russian official after Trump aide 'offered briefings'"
| Feb 14, 2018 | Judge Sullivan asserts Brady Rule, orders Mueller to submit exculpatory evidence on Gen. Flynn
| Feb 18, 2018 | DOJ sends letter to Ali Watkins, details that they are seizing her communications as far back as her college years
| Feb 22, 2018 | Former WH Counsel John Dowd emails associates of idea to raise funds for Manafort and Gates [see: Sep 21, 2018 WSJ] 
| Feb 24, 2018 | Time: "Adam Schiff's Memo Has Been Released. Here's What It Says"
| Feb 27, 2018 | WaPo: "A self-described sex expert says she will spill information on Trump and Russia to get out of a Thai jail"
| Feb 28, 2018 | Office of Professional Responsibility receives OIG report (re: McCabe) [see: Oct 15, 2018 FBI Vault]
| Feb 28, 2018 | Grassley letter to OIC requests review of any improper political influence in counterintelligence investigations
| Mar 05, 2018 | @yashar: "Erin Burnett says she can smell alcohol on Sam Nunberg’s breath."
| Mar 05, 2018 | NYT: "In Poisoning of Sergei Skripal, Russian Ex-Spy, U.K. Sees Cold War Echoes"
| Mar 05, 2018 | Grabien: "CNN travels to Thailand to speak with prostitute who claims to have dirt on Trump"
| Mar 06, 2018 | WaPo: "Special counsel has examined episodes involving Michael Cohen, Trump’s longtime lawyer"
| Mar 07, 2018 | @carterwpage first tweet
| Mar 08, 2018 | Daily Caller: "Oleg Deripaska Op-Ed: The Ever-changing 'Russia narrative' is false public manipulation"
| Mar 12, 2018 | BuzzFeed: "How A Player In The Trump-Russia Scandal Led A Double Life As An American Spy"
| Mar 13, 2018 | ABC: "Roger Stone: Allegations I met with Assange in 2016 'provably false'"
| Mar 13, 2018 | CNN: "Trump fires Tillerson, taps Pompeo as next secretary of state"
| Mar 13, 2018 | CNN: "FBI tried to contact 'sex coaches' in Thai jail"
| Mar 16, 2018 | CNN: "Trump business associate Felix Sater speaks out on Russia ties" (interview with Chris Cuomo)
| Mar 16, 2018 | MSNBC: "Felix Sater On President Donald Trump, Russia, And Being A Spy" (interview with Chris Hayes)
| Mar 16, 2018 | WaPo: "Texts show judge who recused himself in Flynn case was friendly with FBI agent involved in probe"
| Mar 16, 2018 | USA Today: "In war of words with Trump, fired FBI's McCabe says he will no longer be silent"
| Mar 16, 2018 | Saraacarter.com: "New Text Msgs Reveal FBI Agent was Friends with Judge in Flynn Case"
| Mar 17, 2018 | @felixsater: "IMG_4261.mov"
| Mar 18, 2018 | BigLeaguePolitics: "Documents: FBI Carefully Planned Clinton-Lynch Tarmac Trip, Tried To Cover It Up"
| Mar 20, 2018 | Trump floats idea to Putin in a phone call to someday soon visit the White House [see: Apr 2, 2018 WaPo]
| Mar 21, 2018 | Politico: "Judge nixes ex-Trump adviser Carter Page's suit over Yahoo Russia article"
| Mar 23, 2018 | WSJ: "Behind Richard Gates’ Guilty Plea in the Russia Probe"
| Mar 24, 2018 | @gregolear: "13–14 December, 2016: New York (?), Kushner meets somewhere near Newark Airport with Sergei Gorkov"
| Mar 28, 2018 | The Guardian: "Ecuador cuts off Julian Assange's internet access at London embassy"
| Mar 28, 2018 | Fox News: "DOJ Inspector General reviews alleged FISA abuses by DOJ, FBI"
| Mar 28, 2018 | The Intercept: "Department of Justice charges whistleblower under espionage act"
| Mar 30, 2018 | Greg Brower (FBI Assistant Director for the Office of Congressional Affairs) resigns
| Mar 30, 2018 | MSNBC: "Carter Page returns to All In"
| Mar 31, 2018 | @carterwpage: "Great to be on @WattersWorld at 8 pm EDT tonight!"
| Apr 02, 2018 | WaPo: "Trump floated a Putin visit to the White House in a March 20 phone call"
| Apr 02, 2018 | WSJ: "Roger Stone’s Claim of a 2016 Julian Assange Meeting Draws Scrutiny"
| Apr 03, 2018 | CBS News: "Rod Rosenstein outlined scope for special counsel probe in August 2017"
| Apr 05, 2018 | CNN: "Mueller using information related to searches of Manafort's belongings for ongoing investigation"
| Apr 05, 2018 | CNN: "Sex coach who claims to have US election dirt charged with prostitution"
| Apr 06, 2018 | Reuters: "Russian businessmen, officials on new U.S. sanctions list"
| Apr 09, 2018 | Mueller agents execute search warrants on Michael Cohen's home, office, and hotel room [see: Oct 25, 2018 WSJ]
| Apr 13, 2018 | @NPR: "'His leadership is transactional, ego driven and about personal loyalty,' Comey writes."
| Apr 15, 2018 | CNN: "ABC News: Comey says his belief Clinton would win election 'a factor' in email probe"
| Apr 16, 2018 | Daily Beast: "Exclusive: FBI Investigated Former CIA Chief Michael Hayden in Secret-Spilling Case"
| Apr 17, 2018 | Vice News: "‘Sex huntress’ who claims to have dirt on Trump and Russia may spend years in Thai prison"
| Apr 19, 2018 | WaPo: "Inspector general referred findings on McCabe to U.S. attorney for consideration of criminal charges"
| Apr 19, 2018 | DOJ files FARA case against Pakistani national and U.S. permanent resident, Nisar Ahmed Chaudhry
| Apr 22, 2018 | @The_War_Economy: "On March 16, 2009, Orbis Business Intelligence Ltd. was founded by Christopher Burrows and Christopher Steele."
| Apr 24, 2018 | Bloomberg: "Skadden Lawyer Craig Leaves Firm After Inquiry on Ukraine Report"
| Apr 26, 2018 | RCP: "Baier to Comey: If Dossier Was "Salacious," Why Did You Use It To Get FISA Warrant?" ("broader mosaic of facts")
| Apr 26, 2018 | Politico: "Pompeo confirmed as secretary of state"
| May 03, 2018 | James Wolfe grand jury proceedings begin]
| May 04, 2018 | Washington Examiner: "FBI's James Baker, Lisa Page resign"
| May 04, 2018 | Giuliani consults with Felix Sater at Trump Tower [see: May 5, 2017 @TomArnold
| May 05, 2018 | @TomArnold: "but Giuliani he did consult Felix Sater at Trump Tower yesterday so I'm good"
| May 07, 2018 | Nisar Chaudhry pleads guilty to failing to register as a foreign agent in connection with Pakistani lobbying work
| May 07, 2018 | Variety: "Eric Schneiderman Resigns Amid Claims of Violence Against Women"
| May 08, 2018 | CNN: "Trump withdraws US from Iran nuclear deal"
| May 08, 2018 | Daily Caller: "Michael Cohen allegedly received $500k from Russian oligarch after election"
| May 09, 2018 | Daily Caller: "Treasury Department opens IG investigation into leak of Michael COhen's records"
| May 09, 2018 | @SenBlumenthal: "December 13, 2016: Secret Kushner meeting with sanctioned Russian VEB Bank CEO Sergey Gorkov."
| May 11, 2018 | Daily Caller: "Ex-CIA contractor stole 60 notebooks of classified info, pleads guilty"
| May 11, 2018 | The New Yorker Radio Hour: "Senator Mark Warner on the Threat of Russia"
| May 13, 2018 | Daily Caller: "Mark Warner: Trump aides' contacts with Russians could be 'coincidences,' not collusion"
| May 13, 2018 | @Patribotics accuses @dcpoll of being a spy? (archive.is/3bT7l)
| May 14, 2018 | The Hill: "Mueller may have a conflict — and it leads directly to a Russian oligarch"
| May 15, 2018 | Bob Bauer resigns from Perkins Coie
| May 16, 2018 | U.S. District Judge Denise Cote orders Search and Seizure Warrant against Anthony Weiner be unsealed
| May 16, 2018 | New Yorker: "Missing Files Motivated the leak of Michael Cohen's Financial Records"
| May 17, 2018 | Daily Caller: "Cambridge prof with CIA, MI6 ties met with Trump adviser during campaign, beyond"
| May 17, 2018 | BuzzFeed: "Trump Moscow: The Definitive Story Of How Trump’s Team Worked The Russian Deal During The Campaign"
| May 18, 2018 | Warner: "...Intelligence Committee...the critical importance of protecting sources and methods."
| May 19, 2018 | Fox News: "Ex-UK spy Christopher Steele ordered to appear for video deposition in London"
| May 20, 2018 | NYT: "Killing C.I.A. Informants, China Crippled U.S. Spying Operations"
| May 22, 2018 | CNN: "Carter Page: Never found anything unusual about FBI source" (Anderson Cooper interview with Carter Page)
| May 22, 2018 | @realDonaldTrump: "If the person placed very early into my campaign wasn’t a SPY put there by the previous Administration for political purposes, how come such a seemingly massive amount of money was paid for services rendered - many times higher than normal..."
| May 22, 2018 | @realDonaldTrump:  "...Follow the money! The spy was there early in the campaign and yet never reported Collusion with Russia, because there was no Collusion. He was only there to spy for political reasons and to help Crooked Hillary win - just like they did to Bernie Sanders, who got duped!"
| May 23, 2018 | Amy Fiscus: "NEW: Jared Kushner got his security clearance, per @mattapuzzo"
| May 23, 2018 | @carterwpage: "Why did the media...leak/spin my identity as a 2013 UNPAID/burned FBI source last year"
| May 29, 2018 | Fox News: "Former Trump campaign members on contact with Mueller probe" (Clovis, Caputo, Carter Page)
| Jun 03, 2018 | ABC News (Australia): "Felix Sater: The business partner Donald Trump wants nothing to do with"
| Jun 04, 2018 | Daily Caller: "Papadopoulos' wife: Trump aids was 'absolutely not' involved in Russian collusion"
| Jun 04, 2018 | Daily Caller: "Former DIA officer arrested for allegedly spying for China"
| Jun 06, 2018 | TheHill: "Cambridge Analytica director met WikiLeaks' Assange in 2017 'to discuss US election'"
| Jun 08, 2018 | FBI.gov: "Andrew C. Campi Named Special Agent in Charge of the Intelligence Division for the New York Field Office"
| Jun 07, 2018 | Daily Caller: "Soon after Imran Awan's other wife called police on him, gunmen shot at her"
| Jun 07, 2018 | New York Post: "Ex-Senate Intel staffer charged with lying to feds about reporter contacts"
| Jun 12, 2018 | Stalkerzone.org: "Andrey Telizhenko: I Was Told Directly that the Task Was to Remove Trump from the Elections"
| Jun 12, 2018 | Fox News: "Rosenstein threatened to 'subpoena' GOP-led committee in 'chilling' clash over records, emails show"
| Jun 13, 2018 | Politico: "White House counsel McGahn recused his office from Mueller probe"
| Jun 13, 2018 | Rolling Stone: "A Day in the Life of George and Simona Papadopoulos"
| Jun 14, 2018 | CNN: "Key dates in the FBI probe of Hillary Clinton's emails"
| Jun 17, 2018 | CNN: "Former Trump operative Roger Stone met with Russian who wanted $2M for Clinton dirt"
| Jun 19, 2018 | New York Post: "House GOPer unmasks identities of anti-Trump FBI agents"
| Jun 19, 2018 | WaPo: "At height of Russia tensions, Trump campaign chairman Manafort met with business associate from Ukraine"
| Jun 20, 2018 | The Guardian: "US lobbyist for Russian oligarch visited Julian Assange nine times last year"
| Jun 25, 2018 | The Hill: "How Comey intervened to kill WikiLeaks' immunity deal"
| Jun 28, 2018 | Rosenstein: "the information that's public about that doesn't match with my understanding of the one that I signed."
| Jul 03, 2018 | CNN: "New York Times DC reporter who dated Senate intelligence staffer reassigned to New York"
| Jul 07, 2018 | The Hill: "Memos detail FBI's 'Hurry the F up pressure' to probe Trump campaign"
| Jul 09, 2018 | Radio Free Europe: "Russian Tycoon Deripaska Wins Million-Ruble Claim Against 'Nastya Rybka,' 'Sex-Guru' Partner"
| Jul 10, 2018 | Judge Emmitt Sullivan schedules status hearing for Gen. Flynn
| Jul 16, 2018 | Reuters: "Trump emerged from a meeting with Putin saying he saw no reason to believe Russia hacked 2016 U.S. election"
| Jul 16, 2018 | Reuters: "After Helsinki, U.S. intel chief defends findings on Russian meddling"
| Jul 17, 2018 | Bloomberg: "Trump Retreats and Says He Accepts U.S. Finding Russia Meddled"
| Jul 18, 2018 | Adam Lovinger files complaint with Pentagon senior ethics official
| Jul 21, 2018 | NYT: "Carter Page FISA Documents Are Released by Justice Department"
| Jul 21, 2018 | FBI Vault: Carter Page FISA
| Jul 22, 2018 | CNN: "Jake Tapper presses Carter Page on Russian contacts -- full interview"
| Jul 25, 2018 | Politico: "White House lawyer Passantino planning to leave"
| Jul 26, 2018 | First reports of Omarosa's book "Unhinged" said to be released soon
| Jul 26, 2018 | Brennan's security clearance revoked [see: August 15, 2018 Kaitlan Collins tweet]
| Jul 26, 2018 | Daily Caller: "Judge orders Fusion GPS to reveal dossier details in BuzzFeed lawsuit"
| Jul 27, 2018 | CNN: "Cohen claims Trump knew in advance of 2016 Trump Tower meeting"
| Jul 31, 2018 | BuzzFeed: "Here Is The Money Trail From The Russian "Agent" And Her Republican Partner"
| Aug 01, 2018 | Surveillance warrant approved to monitor Sours Edwards phone line [see: Oct 25, 2018 WSJ]
| Aug 02, 2018 | Daily Mail obtains an excerpt from Omarosa's book
| Aug 03, 2018 | ABC: "Assange in 'solitary confinement' at embassy, fears possible extradition to US, lawyer says"
| Aug 03, 2018 | FBI turns over 70 pages of heavily redacted records about Christopher Steele, per Judicial Watch FOIA request
| Aug 06, 2018 | OIG press release says FBI SSA had inappropriate relationship with CHS (bribes, etc.), criminal prosecution declined
| Aug 07, 2018 | The Hill: "Opinion: How a senior DOJ official helped Dem researchers on Trump-Russia case"
| Aug 07, 2018 | Rick Gates tells Judge Ellis he embezzled from Manafort to pay for a London apartment
| Aug 08, 2018 | The Hill: "Opinion: Top DOJ official discussed getting Steele back into FBI, Mueller probe"
| Aug 08, 2018 | Washington Examiner: "Emails show 2016 links among Steele, Ohr, Simpson — with Russian oligarch in background"
| Aug 10, 2018 | Strzok fired [see: August 13, 2018 CNN]
| Aug 10, 2018 | New York Post: "Omarosa claims Trump is a racist, used N-word on ‘The Apprentice’"
| Aug 13, 2018 | CNN: "Peter Strzok fired from the FBI"
| Aug 13, 2018 | Fox News: "Fired FBI agent Peter Strzok sets up anti-Trump Twitter account; GoFundMe page seeks $150G"
| Aug 13, 2018 | DOJ/FBI to provide discovery to Papadopoulos, Mueller to seal discovery
| Aug 14, 2018 | Fortune: "Despite a Press Blitzkrieg, Omarosa's Book Isn't a Top Seller"
| Aug 15, 2018 | USA Today: "Donald Trump revokes former CIA director John Brennan's security clearance"
| Aug 15, 2018 | Foreign Policy: "Botched CIA Communications System Helped Blow Cover of Chinese Agents"
| Aug 15, 2018 | Kaitlan Collins: "The date on President Trump's statement about revoking John Brennan's security clearance? July 26."
| Aug 16, 2018 | Chuck Ross: "DOJ national security lawyer George Toscas deposed by House Judiciary and House Oversight tomorrow."
| Aug 16, 2018 | Rush Limbaugh says Nellie Ohr wrote the dossier
| Aug 16, 2018 | U.S. District Judge Amit P. Mehta rules the FBI cannot issue a Glomar response wrt verifying the Steele dossier
| Aug 16, 2018 | @Techno_Fog: "Fusion GPS will be deposed on August 30, 2018 in Washington, DC"
| Aug 17, 2018 | CNN: "Mark Warner wants to block Trump from 'arbitrarily revoking security clearances'"
| Aug 17, 2018 | AP: "...Burr said there is 'no factual evidence'...on collusion or conspiracy between Russia and...Trump’s campaign."
| Aug 17, 2018 | Politico: "Mueller recommends sentence up to 6 months for Papadopoulos"
| Aug 19, 2018 | Fox News: "Escort says oligarch now has tapes on Russia interference"
| Aug 20, 2018 | Daily Caller: "Papadopoulos told feds he received $10,000 from foreign national he believed was a spy"
| Aug 20, 2018 | Reuters: "Two arrested for allegedly spying for Iran in U.S."
| Aug 21, 2018 | Washington Examiner: "Former Democratic IT staffer Imran Awan avoids jail time"
| Aug 21, 2018 | Washington Post: "Ex-Trump campaign chairman Paul Manafort guilty of 8 charges"
| Aug 21, 2018 | NPR: "Donald Trump's Attorney And Fixer Michael Cohen Pleads Guilty To 8 Federal Counts"
| Aug 21, 2018 | Flynn hearing rescheduled
| Aug 22, 2018 | Daily Caller: "The FBI deliberately ignored 'golden emails', crucial Abedin messages and more"
| Aug 23, 2018 | CNN: "NSA leaker Reality Winner sentenced to more than 5 years in prison"
| Aug 23, 2018 | Acting CIA Inspector General, Christopher Sharpley, resigns
| Aug 27, 2018 | NYT: "U.S. and Mexico Agree to Preliminary Nafta Deal"
| Aug 27, 2018 | Buzzfeed: "Lanny Davis Says He Was A Source For CNN’s Trump Tower Story"
| Aug 27, 2018 | Daily Caller: "Source: FBI agents told Congress the Bureau used leaked stories to obtain spy warrants"
| Aug 27, 2018 | Daily Caller: "Sources: China hacked Clinton's private email server"
| Aug 28, 2018 | NYT: "Canada and U.S. Meet as Trump Moves Ahead With Mexico Trade Deal"
| Aug 28, 2018 | CNN: "Justice Department official in Trump's crosshairs faces lawmakers Tuesday"
| Aug 28, 2018 | The Hill: "Russian oligarch, Justice Department and a clear case of collusion"
| Aug 29, 2018 | Daily Caller: "Christopher Steele reportedly worked for sanctioned Russian oligarch"
| Aug 29, 2018 | CNN: "Don McGahn to leave job as White House counsel, Trump says"
| Aug 29, 2018 | Washington Examiner: "Bruce Ohr named 'half a dozen' FBI, DOJ officials who knew about Trump dossier ties"
| Aug 29, 2018 | @JenniferJJacobs: "The White House ethics lawyer, Stefan Passantino, leaves the post *tomorrow*, sources tell me."
| Aug 29, 2018 | The Hill: "What professor really told FBI about Trump, Russia and Papadopoulos"
| Aug 30, 2018 | Fusion GPS to be deposed in Washington, DC for Gubarev v Buzzfeed lawsuit [see: Aug 16, 2018 @Techno_Fog]
| Aug 30, 2018 | Clinton Digital Library: "Declassified Documents Concerning Russian President Boris Yeltsin"
| Aug 31, 2018 | The Guardian: "Manafort associate paid Trump inauguration $50,000 in Ukrainian cash" (Sam Patten)
| Sep 05, 2018 | NYT: "Jerome Corsi, Conspiracy Theorist, Is Subpoenaed in Mueller Investigation"
| Sep 01, 2018 | NYT: "Agents Tried to Flip Russian Oligarchs. The Fallout Spread to Trump"
| Sep 05, 2018 | NYT: "Opinion: I Am Part of the Resistance Inside the Trump Administration"
| Sep 06, 2018 | WaPo: "Prosecutors use grand jury as investigation of Andrew McCabe intensifies"
| Sep 06, 2018 | The Hill: "Bruce Ohr's efforts to secretly reshape the Trump probe started earlier in summer '16"
| Sep 06, 2018 | NYT: "Trump to preside over U.N. Security Council, prompting anxiety all around"
| Sep 07, 2018 | CNBC: "George Papadopoulos gets 14 days in jail – first Trump campaign aide sentenced in Mueller probe"
| Sep 07, 2018 | Bloomberg: "DNC Lawyers Say Papadopoulos’s U.K. Contact May Be Dead"
| Sep 09, 2018 | Daily Caller: "Mifsud is alive, his adviser says"
| Sep 10, 2018 | Rep. Meadows sends letter to Rod Rosenstein about FBI-DOJ coordinated leaks [see: Sep 10, 2018 saraacarter.com]
| Sep 10, 2018 | Saraacarter.com: "New Texts Reveal FBI Leaked Information to the Press to Damage Trump"
| Sep 10, 2018 | Carter Page: "[SDNY]....[DOJ]...made a kangaroo court out of...our country" [see: Sep 10, 2018 The Hill]
| Sep 10, 2018 | The Hill: "Leaking lovers and an FBI smear job of Carter Page?"
| Sep 12, 2018 | Fox News: "New Strzok-Page texts reveal others were ‘leaking like mad’ in lead up to Trump-Russia probe"
| Sep 12, 2018 | BuzzFeed: "A Series Of Suspicious Money Transfers Followed The Trump Tower Meeting"
| Sep 13, 2018 | NYT: "U.S. Spies Rush to Protect Defectors After Skripal Poisoning" (NYT declines to expose Poteyev)
| Sep 14, 2018 | Daily Caller: "Strzok sought to capitalize on news reports about dossier, text messages suggest"
| Sep 15, 2018 | NYT: "Fraying ties with Trump put Mattis' fate in doubt"
| Sep 15, 2018 | Daily Beast: "Paul Manafort in an Email to Pro-Russia Client: Non-Partisan Think Tank Wonk Did My Bidding"
| Sep 16, 2018 | The Epoch Times: "Nunes Says House Intelligence Committee to Release Russia Probe Interviews"
| Sep 17, 2018 | Daily Caller: "Lisa Page testified the FBI hadn't seen evidence of collusion by the time Mueller was appointed"
| Sep 17, 2018 | @NatashaBertrand: "JUST IN: Mueller says FLYNN is ready for sentencing."
| Sep 17, 2018 | Fox News: "Trump orders feds to declassify key FISA documents, text messages in FBI Russia probe"
| Sep 17, 2018 | Kyivpost.com: "Graham Stack: Everything you know about Paul Manafort is wrong"
| Sep 18, 2018 | WSJ: "Justice Department Has Ordered Key Chinese State Media Firms to Register as Foreign Agents"
| Sep 18, 2018 | @LMartinezABC : "Mattis dismissed reports that he will be leaving the Pentagon."
| Sep 18, 2018 | The Guardian: "'Fort Trump': Donald Trump proposes US military base in Poland"
| Sep 19, 2018 | @chrisgeidner: "Michael Flynn sentencing is set for Dec. 18. Memos preceding it to be filed starting Dec. 4."
| Sep 20, 2018 | The Hill: "FBI memos detail 'partisan axes,' secret conflits behind the Russia election meddling assessment"
| Sep 20, 2018 | Saraacarter.com: "FBI Memos Raise Deep Questions About Russia/Trump Intel Assessment"
| Sep 20, 2018 | @carterwpage: "In meetings with agents under Mr. McCabe's command on Mar. 10, 16 & 30, 2017, I told them about Terror Threats that began with the Sep. 2016 FISA Abuse article."
| Sep 21, 2018 | Reynaldo Regis sentencing date (reset to Nov 2, 2018) [see: May 11, 2018 Daily Caller]
| Sep 21, 2018 | WSJ: "Ex-Trump Lawyer Tried to Help Pay Legal Fees for Manafort, Gates"
| Sep 21, 2018 | NYT: "Rosenstein Suggested Secretly Recording Trump and Discussed 25th Amendment"
| Sep 21, 2018 | Daily Beast: "Trump Is Ready for Justice Department ‘Jihad’ After Rod Rosenstein Report"
| Sep 21, 2018 | BuzzFeed: "The Planners Of The Trump Tower Meeting Moved Millions, And Mueller Is Now Investigating"
| Sep 22, 2018 | Yahoo: "Publicist wonders if he was 'patsy' in Trump Tower meeting"
| Sep 22, 2018 | Daily Beast: "Rod Rosenstein Talk of Taping Trump Was Considered Serious By Lisa Page"
| Sep 26, 2018 | The Guardian: "Ecuador gave Julian Assange diplomatic role at its Moscow embassy, says MP"
| Oct 01, 2018 | @JasonLeopold: "Interesting new book. Will have something to say eventually about certain assertions in the narrative. Best of Enemies: The Last Great Spy Story of the Cold War"
| Oct 02, 2018 | BBC Video: "The attempted assassination of a Russian spy defector"
| Oct 03, 2018 | BBC: "The attempted assassination of a Russian spy defector" (Poteyev)
| Oct 03, 2018 | BuzzFeed: "This Russian Double Agent Is A Lot Less Dead Than He Seemed" (Poteyev)
| Oct 03, 2018 | The Hill: "Freedom Caucus Chairman says 'strong suggestion' undercover FBI sources taped Trump campaign"
| Oct 03, 2018 | The Hill: "Russia collusion bombshell: DNC lawyers met with FBI on dossier before surveillance warrant"
| Oct 03, 2018 | Fox: "Top FBI lawyer Baker offers 'explosive' testimony on 'abnormal' handling of Russia probe into Trump campaign"
| Oct 04, 2018 | NSA responds to FOIA request by Ty Clevenger, says 32 pages are responsive to Seth Rich, all top secret or secret
| Oct 04, 2018 | Daily Caller: "Top FBI official met with DNC lawyer on Russia prior to 2016 election" (Baker, Sussmann)
| Oct 04, 2018 | Daily Beast: "Russian Official Linked to Natalia Veselnitskaya, the Trump Tower Lawyer, Is Dead"
| Oct 08, 2018 | Daily Caller: "A Senate Democrat reportedly outsouced parts of the Trump-Russia probe to operative linked to Soros"
| Oct 08, 2018 | New Yorker: "Was There a Connection Between a Russian Bank and the Trump Campaign?"
| Oct 09, 2018 | @esaagar: "Haley's resignation letter to Trump is dated OCTOBER 3. That is an eternity to keep secret"
| Oct 13, 2018 | Fox News: "New details emerge on anti-Trump dossier as House GOP seeks Fusion GPS boss testimony"
| Oct 15, 2018 | FBI Records (The Vault): "Deputy Director McCabe Office of Professional Responsibility Investigation Part 01 of 01"
| Oct 17, 2018 | Daily Caller: "Treasury Dept Official leaked Trump associates' financial records to BuzzFeed"
| Oct 17, 2018 | Fox News: "State Dept provided 'clearly false' statements to derail requests for Clinton docs, federal judge says"
| Oct 19, 2018 | James Madison Project vs United States Dept of Justice
| Oct 23, 2018 | The Hill: "A convenient omission? Trump campaign adviser denied collusion to FBI source early on" (Papadopoulos)
| Oct 24, 2018 | Politico: "Mueller link seen in mystery grand jury appeal"
| Oct 25, 2018 | WSJ: "Treasury Official Accused of Leaks Had Bureaucratic Complaints About Another Unit" (Mayflower Sours Edwards)
| Oct 29, 2018 | Reuters: "Wikileaks' Assange says Ecuador seeking to end his asylum"
| Oct 31, 2018 | @GeorgePapa19: "When I outed the FBI’s asset [Mifsud] to them in January 17, I got in troub"
| Nov 02, 2018 | WaPo: "CIA contractor gets 3-month prison sentence for taking home classified information" (Reynaldo Regis)
| Nov 02, 2018 | Meduza: "Vladimir Neelov, an expert on private military companies, was arrested in Moscow. He is suspected of treason"
| Nov 02, 2018 | Yahoo: "The CIA's communications suffered a catastrophic compromise. It started in Iran."
| Nov 02, 2018 | Bongino Podcast: "The George Papadopoulos Interview You've Been Waiting for"
| Nov 05, 2018 | El Chapo hearing
| Dec 18, 2018 | Flynn sentencing
